1	131	101	129	2	130 -50
149	101	123	1		
-200					
4	3				
5	3				
2					
-200					
14	123				
20	123				
23	123				
24	123				
25	123				
27	123				
29	123				
6	123				
146	123				
-200					
129	2	130			
144	11	7	148	8	
14	11	7			
-200					
133					
134					
135					
136					
137					
121	102	10	122		
124	102	10			
-200					
12	13				
9					
-200					
101					
15	109	30			
16	17				
18					
-200					
101					
121	30	19	122		
124	30	19			
-200					
21	22				
138	119	30	120	2	
139	2				
-200					
141	119	30	120	2	
140	2	150	119	30	120
142	119	101	26	120	
124	101	26			
-200					
142	119	101	28	120	
124	101	28			
-200					
147	2				
31	32				
33					
118	30				
-200					
34	35				
36					
117	33				
-200					
116	37				
37					
38	39				
41					
40	41				
-200					
110					
115					
111					
112					
113					
114					
43	42				
105	41				
105	41				
-200					
45	44				
107	43				
108	43				
128	43				
-200					
15					
102					
103					
104					
125					
126					
119	30	120			
